INFO 2024-08-03 05:07:58,030 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-03 05:07:58,032 autoreload Waiting for apps ready_event.
DEBUG 2024-08-03 05:07:58,586 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-03 05:07:58,591 autoreload Watching dir C:\Users\Administrator\Django Project\Demo2\myapp\templates with glob **/*.
DEBUG 2024-08-03 05:07:58,591 autoreload Watching dir C:\Users\Administrator\Django Project\Demo2\locale with glob **/*.mo.
DEBUG 2024-08-03 05:07:58,593 autoreload Watching dir C:\Users\Administrator\Django Project\Demo2\myapp\locale with glob **/*.mo.
DEBUG 2024-08-03 05:07:58,619 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-03 05:07:58,621 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-03 05:07:58,702 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,702 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\matplotlib\axis.py first seen with mtime 1721746602.6112957
DEBUG 2024-08-03 05:07:58,702 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\methods\selectn.py first seen with mtime 1722181103.3665864
DEBUG 2024-08-03 05:07:58,702 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\views\i18n.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,703 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\algorithms.py first seen with mtime 1722181103.2961676
DEBUG 2024-08-03 05:07:58,703 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\json\__init__.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,705 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\defusedxml\ElementTree.py first seen with mtime 1615228157.0
DEBUG 2024-08-03 05:07:58,705 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\utils\crypto.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,706 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\json\__init__.py first seen with mtime 1722181103.412331
DEBUG 2024-08-03 05:07:58,706 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\struct.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,707 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\collections\__init__.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,708 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\computation\align.py first seen with mtime 1722181103.3321743
DEBUG 2024-08-03 05:07:58,708 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,709 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_libs\window\aggregations.cp38-win_amd64.pyd first seen with mtime 1722181103.2765923
DEBUG 2024-08-03 05:07:58,709 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\reshape\util.py first seen with mtime 1722181103.376035
DEBUG 2024-08-03 05:07:58,710 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1661293072.0
DEBUG 2024-08-03 05:07:58,710 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_libs\tslibs\timedeltas.cp38-win_amd64.pyd first seen with mtime 1722181103.261395
DEBUG 2024-08-03 05:07:58,711 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,711 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\selectors.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,712 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\_util.py first seen with mtime 1722181103.3883245
DEBUG 2024-08-03 05:07:58,713 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\ops\array_ops.py first seen with mtime 1722181103.3680289
DEBUG 2024-08-03 05:07:58,715 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\email\_parseaddr.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,723 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\indexers\objects.py first seen with mtime 1722181103.3490126
DEBUG 2024-08-03 05:07:58,723 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_libs\tslibs\__init__.py first seen with mtime 1722181103.2310035
DEBUG 2024-08-03 05:07:58,724 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\http\cookie.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,725 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1661293072.0
DEBUG 2024-08-03 05:07:58,725 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\utils\connection.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,725 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\strings\object_array.py first seen with mtime 1722181103.3793232
DEBUG 2024-08-03 05:07:58,726 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1661293074.0
DEBUG 2024-08-03 05:07:58,726 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\core\fromnumeric.py first seen with mtime 1721746595.921104
DEBUG 2024-08-03 05:07:58,727 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\window\common.py first seen with mtime 1722181103.3833244
DEBUG 2024-08-03 05:07:58,727 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_testing\_random.py first seen with mtime 1722181103.286592
DEBUG 2024-08-03 05:07:58,727 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,728 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\linalg\linalg.py first seen with mtime 1721746596.1265318
DEBUG 2024-08-03 05:07:58,731 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\construction.py first seen with mtime 1722181103.3001678
DEBUG 2024-08-03 05:07:58,731 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\json\_table_schema.py first seen with mtime 1722181103.4133303
DEBUG 2024-08-03 05:07:58,738 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\computation\engines.py first seen with mtime 1722181103.334175
DEBUG 2024-08-03 05:07:58,738 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\tools\timedeltas.py first seen with mtime 1722181103.3803244
DEBUG 2024-08-03 05:07:58,740 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\pytables.py first seen with mtime 1722181103.393324
DEBUG 2024-08-03 05:07:58,740 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\accessor.py first seen with mtime 1722181103.2961676
DEBUG 2024-08-03 05:07:58,742 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\forms\fields.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,742 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\asyncio\tasks.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,743 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_testing\__init__.py first seen with mtime 1722181103.284593
DEBUG 2024-08-03 05:07:58,744 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\reshape\pivot.py first seen with mtime 1722181103.3750343
DEBUG 2024-08-03 05:07:58,746 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\parsers\base_parser.py first seen with mtime 1722181103.4153314
DEBUG 2024-08-03 05:07:58,747 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\encodings\latin_1.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,747 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\polynomial\_polybase.py first seen with mtime 1721746596.1465967
DEBUG 2024-08-03 05:07:58,753 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\_libs\ops.cp38-win_amd64.pyd first seen with mtime 1722181103.2100034
DEBUG 2024-08-03 05:07:58,753 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\formats\__init__.py first seen with mtime 1722181103.400327
DEBUG 2024-08-03 05:07:58,753 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\xml\etree\ElementPath.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,754 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\util\_validators.py first seen with mtime 1722181103.9499013
DEBUG 2024-08-03 05:07:58,754 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1661293074.0
DEBUG 2024-08-03 05:07:58,754 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\asyncio\selector_events.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,755 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\pathlib.py first seen with mtime 1710862839.0
DEBUG 2024-08-03 05:07:58,755 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1661293072.0
DEBUG 2024-08-03 05:07:58,755 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\tseries\offsets.py first seen with mtime 1722181103.9459014
DEBUG 2024-08-03 05:07:58,755 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\core\_exceptions.py first seen with mtime 1721746595.8990169
DEBUG 2024-08-03 05:07:58,756 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\indexes\category.py first seen with mtime 1722181103.352012
DEBUG 2024-08-03 05:07:58,756 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\_version.py first seen with mtime 1721746595.770755
DEBUG 2024-08-03 05:07:58,756 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\internals\managers.py first seen with mtime 1722181103.365012
DEBUG 2024-08-03 05:07:58,757 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\matplotlib\_enums.py first seen with mtime 1721746602.6448388
DEBUG 2024-08-03 05:07:58,757 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\forms\forms.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,758 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\mpl_toolkits\mplot3d\__init__.py first seen with mtime 1721746602.8692012
DEBUG 2024-08-03 05:07:58,758 autoreload File C:\Users\Administrator\Django Project\Demo2\myapp\apps.py first seen with mtime 1722015696.0197732
DEBUG 2024-08-03 05:07:58,758 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\core\multiarray.py first seen with mtime 1721746595.9251041
DEBUG 2024-08-03 05:07:58,759 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\arrays\arrow\dtype.py first seen with mtime 1722181103.3281748
DEBUG 2024-08-03 05:07:58,760 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,765 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\template\loader.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,765 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\sample.py first seen with mtime 1722181103.3061674
DEBUG 2024-08-03 05:07:58,766 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\lib\arrayterator.py first seen with mtime 1721746596.093947
DEBUG 2024-08-03 05:07:58,767 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\random\_mt19937.cp38-win_amd64.pyd first seen with mtime 1721746596.1674685
DEBUG 2024-08-03 05:07:58,767 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\numpy\core\_machar.py first seen with mtime 1721746595.9000638
DEBUG 2024-08-03 05:07:58,769 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\core\arrays\numeric.py first seen with mtime 1722181103.323174
DEBUG 2024-08-03 05:07:58,769 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1661293075.0
DEBUG 2024-08-03 05:07:58,771 autoreload File C:\Users\Administrator\.conda\envs\django_env\Lib\site-packages\pandas\io\spss.py first seen with mtime 1722181103.393324
